station_id,code,name,city,state
7822,KARJ,KARJHAUSA,,
6565,KARK,KARAIKKURICH,,
4834,KAUA,KATHAUTIA,,
8060,KAYI,"KAYDI HALT",,
593,KDAG,"KYATSNDRA GO",,
7835,KDSB,"KHADUR  SAHI",,
7990,KDUH,KUNDURU,,
7864,KEMK,"KHEM KARAN",,
8063,KFX,KOCHEWAHI,,
8065,KGE,KATANGI,,
7828,KHDR,"KHANDARI HAL",,
4330,KHGP,KHARGAPUR,,
6561,KIB,"KIZHA AMBUR",,
6563,KIC,KALLIDAIKURU,,
2979,KIGL,KUNIGAL,,
3676,KJRA,KARJANA,,
3677,KJRM,"KARJANA GRAM",,
4835,KKAS,KATKAMASANDI,,
7823,KKBA,KAKBARA,,
6558,KKY,KILAKADAIYAM,,
6208,KLGN,KALANGANI,,
3070,KLKA,KOILAKUNTLA,,
8100,KLWD,KALITALAVADI,,
3490,KLYG,"KALYANI GHOS",,
3489,KLYM,"KALYANI SIMA",,
7889,KLYN,KHILERIYAN,,
3491,KLYS,"KALYANI SILP",,
8006,KMLK,KAMALAPUR,,
6008,KMNG,KAMRANGA,,
3673,KMRA,KAMNARA,,
8035,KMRL,"KUMRUI PH",,
8057,KNDG,KANHADGAON,,
3783,KONA,"KONA PH",,
7982,KOVH,"KOVVADA HALT",,
7801,KPJ,"KOPAGANJ HAL",,
7992,KPLH,KOTIPALLI,,
4828,KQRT,"KODERMA TOWN",,
7984,KRAP,"KRAPPA HALT",,
7788,KRDN,KARAUNDHANA,,
8055,KRXA,KHARA,,
8091,KRYR,KARAMSAD,,
3674,KSHT,KHETIA,,
4836,KSNA,"KANASAR NAWA",,
7856,KTGN,"KOTLA GUJRAN",,
7821,KTOR,KATORIYA,,
509,KTPR,KATHALPUKHUR,,
3289,KTRK,KUTURUKHAMAR,,
4841,KUJU,KUJU,,
4867,KUMT,KURMAHAT,,
7171,KURT,"KHURDA TOWN",,
4750,KURV,KURVA,,
4821,KWAR,KAWAR,,
8030,KYB,"KAIYAR PH",,
6555,KYZ,"KIZHA PULIYU",,
7826,LATH,"LATH HALT",,
445,LBI,LILABARI,,
5978,LGI,LONGAI,,
461,LMY,LAIMEKURI,,
8064,LNW,LAKHANWARA,,
7976,LPJL,JAGITYAL,,
6159,LPK,LEPETKATA,,
7925,LTG,"LATAGURI JN",,
7832,LTKR,"LALIT KHERA",,
7993,MADU,MADDURU,,
3648,MAJ,MAJHERGRAM,,
7791,MAKP,MANIKPURA,,
6206,MALR,MALLUR,,
3728,MAYP,MAYAPUR,,
3780,MDC,MAKARDAHA,,
7888,MELH,MELUSAR,,
497,MFC,MONABARI,,
7796,MGKP,"MANISINGH KA",,
5774,MGZ,MAHARAJGANJ,,
822,MHBA,MATHABHANGA,,
3773,MHLN,MAHENDRALALN,,
4938,MHRI,MACHHRAULI,,
4827,MHSA,"MAHESHPUR 'A",,
3772,MJH,"MAJU (PH)",,
7855,MJTA,MAJITHA,,
7574,MKWI,"MAKARWADI HA",,
7922,MLBZ,"MAL BAZAR",,
6042,MLFC,"MALDA COURT",,
4840,MNDU,"MANDU HALT",,
3774,MNH,"MUNSIRHAT PH",,
7825,MOHR,"MOHANA HARYA",,
3444,MONR,MOHANUR,,
6016,MPRA,MAHAMADPUR-A,,
6005,MRBD,MOINARBAND,,
7804,MRDP,"MURADPUR (HA",,
8001,MRKL,MARIKAL,,
7979,MRTD,MORTAD,,
7799,MSE,MASANI,,
3553,MSL,MACHHALANDAP,,
5977,MSSN,MAISHASHAN,,
8025,MTIP,MATHNANHIPUR,,
7980,MTPI,METPALLI,,
687,MVRD,MAIVADIROAD,,
4332,MWAI,MAWAI,,
821,MYGD,"MYNAGURI RD",,
453,MYO,MORIDHAL,,
463,MZS,"MURKEONG SEL",,
3646,NBRN,"NABA RAYNAGA",,
498,NBX,NIZBARGANJ,,
495,NCA,NIZCHATIA,,
873,NCBD,"NEW CHANGRAB",,
8148,NEU,NERUL,,
8051,NGDM,"NAGRA DHAM P",,
8048,NGJA,NARAYANAPPAV,,
7393,NGMN,"NEW GUMANDEV",,
200,NHGJ,"NEW HARANGAJ",,
467,NHLG,"NEW HALFLONG",,
2978,NMGA,Nelamangala,,
4866,NNHT,NONIHAT,,
7818,NNWH,"NEW NAWADIH",,
7886,NOA,"NOSARIA  HAL",,
8045,NOB,"NOBANDA PH",,
6130,NOLB,NOLBARI,,
7924,NOR,NEORANADI,,
7995,NOSM,NOSSAM,,
6004,NSCL,"NEW SILCHAR",,
7987,NSPH,NARASAPURAPU,,
8096,NTN,"NAR TOWN",,
4825,NWDH,NAWADIH,,
4826,NWSI,"NAWAL SAHI H",,
7176,NYGT,NAYAGARHTOWN,,
874,NYRH,NAYARHAT,,
